id,food_item_id,donor_id,receiver_id,quantity,status,claimed_at,picked_up_at,created_at,updated_at,pickup_time,instructions_for_driver,pickup_slots,unit,latitude,longitude,postal_code,start_date,end_date,timezone
e9643278-9c6b-4c00-948f-d7e6539e223e,501a8114-d2e2-4a84-91e3-0f4ff0c3b074,c08cf3e1-679e-4f00-ab9c-36089b9aa8b2,,2,available,,,2025-09-12 11:47:39.240252+00,2025-09-12 11:47:39.240252+00,,aa,"[{""date"": ""2025-09-12"", ""end_time"": ""14:00"", ""start_time"": ""09:00""}]",kg,,,,,,UTC
76bc68a1-06fc-401f-b182-9dfc89632dca,9d37b0de-5d66-4ab7-bd49-6e52926fc738,c08cf3e1-679e-4f00-ab9c-36089b9aa8b2,,1,available,,,2025-09-12 10:06:55.442547+00,2025-09-12 10:06:55.442547+00,,aa,"[{""date"": ""2025-09-11"", ""end_time"": ""14:00"", ""start_time"": ""18:00""}]",kg,,,,,,UTC
aed2cec6-c167-4040-a857-9c823efa8654,0e7b3318-4a77-4aee-a0d1-b5d436b93711,44a324c3-7892-4f75-a065-eb2ae1c9d64c,,2,available,,,2025-09-12 05:13:37.646045+00,2025-09-12 05:13:37.646045+00,,,"[{""date"": ""2025-09-11"", ""end_time"": ""10:30"", ""start_time"": ""09:00""}]",kg,,,,,,UTC
989d7f67-451e-40d7-befb-d3dc01f934ff,90900e14-f3ab-40bd-aded-5a65ad38386f,44a324c3-7892-4f75-a065-eb2ae1c9d64c,,7,claimed,2025-09-12 08:27:21.068+00,,2025-09-12 05:13:36.020997+00,2025-09-12 08:27:21.29797+00,,,"[{""date"": ""2025-09-11"", ""end_time"": ""10:30"", ""start_time"": ""09:00""}]",kg,,,,,,UTC
63fbe4f6-7ce5-471f-8abe-3f21a0997ffa,1a59b487-d457-43a1-b2f3-f93f996683d0,c08cf3e1-679e-4f00-ab9c-36089b9aa8b2,,22,available,,,2025-09-10 10:21:03.415936+00,2025-09-10 10:21:03.415936+00,,aa,"[{""date"": ""2025-09-19"", ""end_time"": ""14:00"", ""start_time"": ""09:00""}]",kg,,,,,,UTC
c2af70cb-0c3d-486e-8318-70a62ca4ce38,b4a56eb6-218a-42c0-8f04-d2ff2b6cbf70,44a324c3-7892-4f75-a065-eb2ae1c9d64c,,6,claimed,2025-09-12 05:06:20.554+00,,2025-09-10 10:19:37.253007+00,2025-09-12 05:06:20.692788+00,,,"[{""date"": ""2025-09-09"", ""end_time"": ""10:30"", ""start_time"": ""09:00""}]",kg,,,,,,UTC
0b3b03f8-18e0-43f0-a15d-a6ab8b005bde,d089ed7c-95f6-4997-b2a1-6212f25ae8cc,44a324c3-7892-4f75-a065-eb2ae1c9d64c,,3,claimed,2025-09-11 15:43:35.805+00,,2025-09-10 10:19:35.862996+00,2025-09-11 15:43:36.015245+00,,,"[{""date"": ""2025-09-09"", ""end_time"": ""10:30"", ""start_time"": ""09:00""}]",kg,,,,,,UTC
09bd9eff-4782-4215-b0f5-c4ecc9eb460f,0fc6af6e-d359-4fda-a30c-0a90a9ee023c,c08cf3e1-679e-4f00-ab9c-36089b9aa8b2,,3,available,,,2025-09-10 04:15:55.962978+00,2025-09-10 04:15:55.962978+00,,,"[{""date"": ""2025-09-18"", ""end_time"": ""14:00"", ""start_time"": ""09:00""}]",kg,,,,,,UTC
67da6276-aff2-4841-8931-da7b702f5b0c,d8b6bc44-bc22-498c-bfe4-5a542cbddd5f,c08cf3e1-679e-4f00-ab9c-36089b9aa8b2,,12,available,,,2025-09-10 03:18:07.238532+00,2025-09-10 03:18:07.238532+00,,aa,"[{""date"": ""2025-09-16"", ""end_time"": ""14:00"", ""start_time"": ""09:00""}]",kg,,,,,,UTC
b57faebe-2b1f-42a4-9d45-baf6aa54048a,e3db0e2a-e74d-4055-82f3-c810b35740d8,44a324c3-7892-4f75-a065-eb2ae1c9d64c,,1,claimed,2025-09-10 10:20:44.253+00,,2025-09-09 10:24:41.558285+00,2025-09-10 10:20:44.387675+00,,,"[{""date"": ""2025-09-08"", ""end_time"": ""10:30"", ""start_time"": ""09:00""}, {""date"": ""2025-09-08"", ""end_time"": ""10:30"", ""start_time"": ""09:00""}]",kg,,,,,,UTC
